Date,Time,North Price,West Price,South Price,Houston Price,North Load,West Load,South Load,Houston Load,North Predicted Load,West Predicted Load,South Predicted Load,Houston Predicted Load,Oil Price
01/02/2023,22:00,18.0375,18.08,20.4975,17.95,13612.209395,7316.106157000001,10931.035244,11222.129489,18463.724059433094,8120.774485576414,13543.973129965905,14759.931946709716,76.87
01/02/2023,23:00,8.5075,8.5175,9.21,8.48,12796.035270999999,7168.089453999999,10397.677338,10773.538124,17412.043626674807,7922.785034006048,12849.329956626625,14142.20323729532,76.87
01/03/2023,00:00,1.83,1.8275,1.45,1.8475,11797.838441,7095.226799,9645.324509,10248.498659,17124.855560870838,7858.778072235245,12332.750734569057,13223.893929572676,76.87
01/03/2023,01:00,-0.865,-0.865,-0.9825,-0.855,10915.113689,6981.662349,9092.617155,9786.749865,16987.396844902956,7836.825324397576,12165.606055381206,13046.90968505908,76.87
01/03/2023,02:00,-2.1275,-2.1275,-2.1275,-2.1275,10354.683525,6891.055439000001,8628.368712,9405.327653,17139.493157026576,7848.917393196713,12170.248096301642,12924.60043283809,76.87
01/03/2023,03:00,-0.47,-0.47,-0.47,-0.47,10074.600521,6943.799938,8353.390603,9131.740959,17392.47261320967,7874.785833307798,12269.565669178255,13064.710174695034,76.87
01/03/2023,04:00,1.58,1.58,1.58,1.58,10017.533414,6985.2501409999995,8175.610676,9004.654198,17879.269922263826,7928.244122380746,12720.669921189061,13553.042239169388,76.87
01/03/2023,05:00,3.25,3.25,3.25,3.25,10213.246845,7027.808929000001,8262.752861,9048.080466,19069.99401190678,8104.5617458118495,13634.835243718871,14713.183341549,76.87
01/03/2023,06:00,19.185,19.185,19.185,19.185,10845.721176000001,7157.893461,8565.356272,9396.83595,21653.402017818244,8367.838151530645,15492.36683692268,15697.24224299727,76.87
01/03/2023,07:00,20.1525,20.1525,20.1525,20.1525,11943.926344,7332.9484600000005,9187.719354,9841.052166,23066.067148086673,8483.32356162748,16102.436181302022,16056.116113861344,76.87
01/03/2023,08:00,26.3375,26.3375,26.3375,26.3375,12719.132648,7452.854660000001,9571.34509,10038.460137,22339.099824734996,8411.7236335399,15709.198841884725,16267.915288165537,76.87
01/03/2023,09:00,106.0125,106.0125,106.0125,106.0125,12940.39625,7455.817889,9745.15192,10208.919587,21627.661813194,8350.434268284193,14928.284119995022,16335.104693615498,76.87
01/03/2023,10:00,19.2025,19.2025,19.2025,19.2025,12964.168836,7413.554616,9707.180638,10456.756864,20701.7620638826,8280.890476638386,13893.28181065487,16104.657077522765,76.87
01/03/2023,11:00,21.7475,21.625,21.64,21.7075,13187.496757,7374.5399959999995,9853.770021,10795.509236,19463.470305617488,8134.283748295737,13107.782548593028,15715.98989000101,76.87
01/03/2023,12:00,41.3525,40.33,40.2025,40.9375,13330.148917,7347.090746,10029.572101,11121.310723,18366.100794710947,7977.071443617673,12440.801321044764,15117.599267164336,76.87
01/03/2023,13:00,25.635,25.0575,24.8775,25.3625,13247.638227,7268.208637,10244.836872,11390.795986,17418.683809469392,7811.128554794583,12005.043675437513,14948.778069385116,76.87
01/03/2023,14:00,26.2625,25.5825,25.4225,25.9625,13160.649094,7258.860653,10512.880929,11697.921775,16913.011568356094,7748.279272693125,11611.278736688437,14481.883219366942,76.87
01/03/2023,15:00,18.9825,18.265,19.1575,19.1425,13092.942754000002,7256.073009,10725.877797,11906.90321,16602.26340820895,7699.9523898871075,11376.396500122411,14540.566296879848,76.87
01/03/2023,16:00,17.6425,19.4775,21.1975,19.62,13015.199694,7281.9765130000005,10917.810573,11923.054393,16720.425352810464,7722.254030095397,11390.334994539051,14699.36027254616,76.87
